balls,period,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15
b=4,p=1,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes,8 bytes
b=4,p=2,0 bytes,0 bytes,0 bytes,0 bytes,8 bytes,16 bytes,24 bytes,32 bytes,32 bytes,32 bytes,32 bytes,32 bytes,32 bytes,32 bytes,32 bytes
b=4,p=3,0 bytes,0 bytes,0 bytes,0 bytes,16 bytes,48 bytes,80 bytes,104 bytes,128 bytes,144 bytes,152 bytes,160 bytes,160 bytes,160 bytes,160 bytes
b=4,p=4,0 bytes,0 bytes,0 bytes,0 bytes,24 bytes,104 bytes,216 bytes,352 bytes,464 bytes,544 bytes,600 bytes,656 bytes,688 bytes,704 bytes,712 bytes
b=4,p=5,0 bytes,0 bytes,0 bytes,0 bytes,48 bytes,272 bytes,704 bytes,1.2 KB,1.7 KB,2.2 KB,2.6 KB,2.8 KB,3 KB,3.1 KB,3.2 KB
b=4,p=6,0 bytes,0 bytes,0 bytes,0 bytes,64 bytes,600 bytes,2 KB,4.1 KB,6.4 KB,8.4 KB,10 KB,11.6 KB,12.8 KB,13.6 KB,14.2 KB
b=4,p=7,0 bytes,0 bytes,0 bytes,0 bytes,128 bytes,1.4 KB,5.8 KB,14 KB,24 KB,33.7 KB,42.1 KB,48.9 KB,54.1 KB,59.4 KB,63 KB
b=4,p=8,0 bytes,0 bytes,0 bytes,0 bytes,208 bytes,3.3 KB,15.5 KB,44.7 KB,86.6 KB,132.1 KB,173.8 KB,208.7 KB,236.4 KB,257.9 KB,274.3 KB
b=4,p=9,0 bytes,0 bytes,0 bytes,0 bytes,384 bytes,8.3 KB,47.8 KB,138.8 KB,306.2 KB,509 KB,710.6 KB,887.4 KB,1 MB,1.1 MB,1.2 MB
b=4,p=10,0 bytes,0 bytes,0 bytes,0 bytes,664 bytes,20.6 KB,146.2 KB,485 KB,1 MB,1.9 MB,2.9 MB,3.7 MB,4.5 MB,5.1 MB,5.5 MB
b=4,p=11,0 bytes,0 bytes,0 bytes,0 bytes,1.2 KB,52.2 KB,449.7 KB,1.7 MB,4 MB,7.1 MB,11.3 MB,15.5 MB,19.3 MB,22.3 MB,24.8 MB
b=4,p=12,0 bytes,0 bytes,0 bytes,0 bytes,2.2 KB,131.5 KB,1.4 MB,5.9 MB,15.2 MB,28.6 MB,44.2 MB,64 MB,82.4 MB,98 MB,110.6 MB
b=4,p=13,0 bytes,0 bytes,0 bytes,0 bytes,4 KB,336 KB,4.3 MB,20.8 MB,58.1 MB,115.7 MB,186.1 MB,260.5 MB,349.5 MB,428 MB,493.1 MB
b=4,p=14,0 bytes,0 bytes,0 bytes,0 bytes,7.3 KB,862.1 KB,13.3 MB,73.2 MB,221.9 MB,468.2 MB,784.4 MB,1.1 GB,1.5 GB,1.9 GB,2.2 GB
b=4,p=15,0 bytes,0 bytes,0 bytes,0 bytes,13.5 KB,2.2 MB,41.9 MB,258.7 MB,850 MB,1.9 GB,3.3 GB,4.9 GB,6.5 GB,8 GB,9.7 GB
